"Category","Occurrence","Action item","Subject","Group","Description","Documentation references","Recommended action","Filtered","Estimated complexity","Line","Position","Source","Target","Server IP address and port","Database name","Schema name","AI/ML Recommendation"
"procedure","Schemas.OMA.Procedures.SHOW_ORDER_HIERARCHY","5444","","This conversion uses machine learning models that generate predictions based on patterns in data","This conversion uses machine learning models that generate predictions based on patterns in data","","Machine learning output is probabilistic and should be reviewed for accuracy, including human evaluation, as needed for your use case.","","Simple","7","76","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"procedure","Schemas.OMA.Procedures.GET_STORE_SALES_PIVOT","5628","","Converted code might produce different results compared to the source code","Converted code might not work correctly because of the dynamic SQL statements","https://www.postgresql.org/docs/current/plpgsql-statements.html#PLPGSQL-STATEMENTS-EXECUTING-DYN","Review the converted code to make sure that it produces the same results as the source code. Rewrite dynamic statements in your source code, then try to convert again.","","Simple","24","647","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"procedure","Schemas.OMA.Procedures.GET_STORE_SALES_PIVOT","5077","","PostgreSQL doesn't support the PIVOT clause for SELECT statements","PostgreSQL doesn't support the PIVOT clause for SELECT statements","http://www.postgresql.org/docs/current/static/sql-createview.html","Revise your code to use a procedure to prepare data and then return data as a view.","","Complex","4","76","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"procedure","Schemas.OMA.Procedures.GET_STORE_SALES_PIVOT","5578","","DMS SC can't convert the SELECT statement","DMS SC can't convert the SELECT statement","","Revise your SELECT statement and try again.","","Complex","4","76","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"view","Schemas.OMA.Views.CUSTOMER_ORDER_PRODUCTS","5320","","PostgreSQL doesn't support views with the INVALID status","PostgreSQL doesn't support views with the INVALID status","http://www.postgresql.org/docs/current/static/sql-createview.html","Convert your source code manually.","","Simple","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"view","Schemas.OMA.Views.STORE_ORDERS","5320","","PostgreSQL doesn't support views with the INVALID status","PostgreSQL doesn't support views with the INVALID status","http://www.postgresql.org/docs/current/static/sql-createview.html","Convert your source code manually.","","Simple","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"view","Schemas.OMA.Views.TRANSFERS_VIEW","9997","j.transaction_doc.time_id","Unable to resolve objects","Unable to resolve the object j.transaction_doc.time_id","","Verify if the unresolved object is present in the database. If it isn't, check the object name or add the object. If the object is present, transform the code manually.","","Simple","2","22","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"view","Schemas.OMA.Views.TRANSFERS_VIEW","9997","j.transaction_doc.user_id","Unable to resolve objects","Unable to resolve the object j.transaction_doc.user_id","","Verify if the unresolved object is present in the database. If it isn't, check the object name or add the object. If the object is present, transform the code manually.","","Simple","3","83","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"view","Schemas.OMA.Views.TRANSFERS_VIEW","9997","j.transaction_doc.event_id","Unable to resolve objects","Unable to resolve the object j.transaction_doc.event_id","","Verify if the unresolved object is present in the database. If it isn't, check the object name or add the object. If the object is present, transform the code manually.","","Simple","4","128","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"view","Schemas.OMA.Views.TRANSFERS_VIEW","9997","j.transaction_doc.transfer_id","Unable to resolve objects","Unable to resolve the object j.transaction_doc.transfer_id","","Verify if the unresolved object is present in the database. If it isn't, check the object name or add the object. If the object is present, transform the code manually.","","Simple","5","175","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"view","Schemas.OMA.Views.TRANSFERS_VIEW","9997","j.transaction_doc.trans_amount","Unable to resolve objects","Unable to resolve the object j.transaction_doc.trans_amount","","Verify if the unresolved object is present in the database. If it isn't, check the object name or add the object. If the object is present, transform the code manually.","","Simple","6","238","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"view","Schemas.OMA.Views.TRANSFERS_VIEW","9997","j.transaction_doc.event_id","Unable to resolve objects","Unable to resolve the object j.transaction_doc.event_id","","Verify if the unresolved object is present in the database. If it isn't, check the object name or add the object. If the object is present, transform the code manually.","","Simple","8","312","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"view","Schemas.OMA.Views.CUSTOMER_ORDER_PRODUCTS","5341","","PostgreSQL doesn't support LISTAGG functions with the ON OVERFLOW clause. ","PostgreSQL doesn't support LISTAGG functions with the ON OVERFLOW clause. ","","Revise your code to use another function or create a user-defined function.","","Medium","6","222","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.BRICKS.Columns.WEIGHT","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.CUSTOMERS.Columns.CUSTOMER_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.GAS_PRICE_LOG.Columns.LOGGED_PRICE","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.HIER_TEST.Columns.EMP_NO","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.HIER_TEST.Columns.MANAGER_NO","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.INVENTORIES.Columns.QTY","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.INVENTORY.Columns.INVENTORY_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.INVENTORY.Columns.PRODUCT_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.INVENTORY.Columns.PRODUCT_INVENTORY","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.INVENTORY.Columns.STORE_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.MATCH_RESULTS.Columns.AWAY_TEAM_POINTS","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.MATCH_RESULTS.Columns.HOME_TEAM_POINTS","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.MONTHLY_SALES.Columns.QTY","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.NUMBERS.Columns.NUMVAL","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.ORDERLINE.Columns.ORDNO","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.ORDERLINE.Columns.QTY","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.ORDERS.Columns.CUSTOMER_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.ORDERS.Columns.ORDER_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.ORDERS.Columns.STORE_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.ORDER_ITEMS.Columns.LINE_ITEM_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.ORDER_ITEMS.Columns.ORDER_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.ORDER_ITEMS.Columns.PRODUCT_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.ORDER_ITEMS.Columns.QUANTITY","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.ORDER_ITEMS.Columns.SHIPMENT_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.PRODUCTS.Columns.PRODUCT_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.SALES.Columns.QTY","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.SHIPMENTS.Columns.CUSTOMER_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.SHIPMENTS.Columns.SHIPMENT_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.SHIPMENTS.Columns.STORE_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.STORES.Columns.STORE_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.TOYS.Columns.WEIGHT","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
